URL_Scrapped,Website_Address,Full_Address,Street_Number,Street_Name,Zipcode,State,City,County,Latitude,Longitude,Beds,Bath,Price,Available,Note,Timestamp
http://www.pma-rentals.com/rental_listings,"3810 Sweeten Creek, Arden, NC 28704","Sweeten Creek Rd, Arden, NC, United States of America",,Sweeten Creek Rd,,North Carolina,Arden,,35.472276,-82.514671,3,,"$2,300 ",11/1/2024,Data updated successfully,10/24/2024 19:18
http://www.pma-rentals.com/rental_listings,"1305 Pisgah Hwy, Candler, NC 28715","Pisgah Highway, Candler, Buncombe County, NC 28715, United States of America",,Pisgah Highway,28715,North Carolina,Candler,Buncombe County,35.536878,-82.6866991,3,,"$2,800 ",NOW,Data updated successfully,10/24/2024 19:18
http://www.pma-rentals.com/rental_listings,"15 Oakcrest Place, Asheville, NC 28806","15 Oakcrest Place, Asheville, NC 28806, United States of America",15.0,Oakcrest Place,28806,North Carolina,Asheville,Buncombe County,35.5778982,-82.6184134,3,,"$1,750 ",10/31/2024,Data updated successfully,10/24/2024 19:18
http://www.pma-rentals.com/rental_listings,"26 Oakcrest Pl., Asheville, NC 28806","26 Oakcrest Place, Asheville, NC 28806, United States of America",26.0,Oakcrest Place,28806,North Carolina,Asheville,Buncombe County,35.5774709,-82.618957,3,,"$1,950 ",NOW,Data updated successfully,10/24/2024 19:18
http://www.pma-rentals.com/rental_listings,"33 Enka Orchard St., Candler, NC 28715","Orchard St, Candler, NC, United States of America",,Orchard St,,North Carolina,Candler,,35.545608,-82.681508,2,,"$2,000 ",NOW,Data updated successfully,10/24/2024 19:18
http://www.pma-rentals.com/rental_listings,"6 Cottage St, Asheville, NC 28804","6 Cottage St, Asheville, NC, United States of America",6.0,Cottage St,,North Carolina,Asheville,,35.63307,-82.582009,2,,"$1,650 ",NOW,Data updated successfully,10/24/2024 19:18
https://www.houseinorderpm.com/homes-for-rent,"50 Crestmont Ave. Asheville, NC 28806","50 Crestmont Avenue, Asheville, NC 28806, United States of America",50.0,Crestmont Avenue,28806,North Carolina,Asheville,Buncombe County,35.5754231,-82.5713955,2,,"$3,400 ",Now,Data processed successfully,10/24/2024 19:17
https://www.houseinorderpm.com/homes-for-rent,"46 Garden Circle Asheville, NC 28806","46 Garden Circle, Asheville, NC 28806, United States of America",46.0,Garden Circle,28806,North Carolina,Asheville,Buncombe County,35.5753239,-82.5732231,4,,"$2,500 ",Now,Data processed successfully,10/24/2024 19:17
https://www.houseinorderpm.com/homes-for-rent,"358 London Road Asheville, NC 28803","London Road, Asheville, NC 28803, United States of America",,London Road,28803,North Carolina,Asheville,Buncombe County,35.5586749,-82.5335433,3,,$925 ,Now,Data processed successfully,10/24/2024 19:17
https://www.houseinorderpm.com/homes-for-rent,"1 Katra Lane Asheville, NC 28805","1 Katra Ln, Asheville, NC, United States of America",1.0,Katra Ln,,North Carolina,Asheville,,35.616968,-82.478006,1,,"$1,425 ",11/1/2024,Data processed successfully,10/24/2024 19:17
