URL_Scrapped,Website_Address,Full_Address,Street_Number,Street_Name,Zipcode,State,City,County,Latitude,Longitude,Beds,Bath,Price,Available,Note,Timestamp
https://www.kipsbaycourt.com/nyc-apartments-for-rent/,"460 Second Avenue, Apt 03E","Eastern Region, Uganda",,,,Eastern Region,,,0.96675,33.82622,Studio,,"$3,430",Available Now,Data processed successfully,2024-10-26 05:18:04
https://www.kipsbaycourt.com/nyc-apartments-for-rent/,"490 Second Avenue, Apt 05B","Barcelona, Catalonia, Spain",,,,Catalonia,,Barcelona,41.66667,2.0,Studio,,"$3,485",Available January 14,Data processed successfully,2024-10-26 05:18:04
https://www.kipsbaycourt.com/nyc-apartments-for-rent/,"490 Second Avenue, Apt 03B","Barcelona, Catalonia, Spain",,,,Catalonia,,Barcelona,41.66667,2.0,Studio,,"$3,600",Available Now,Data processed successfully,2024-10-26 05:18:04
https://www.kipsbaycourt.com/nyc-apartments-for-rent/,"460 Second Avenue, Apt 10E","Eastern Region, Uganda",,,,Eastern Region,,,0.96675,33.82622,Studio,,"$3,640",Available Now,Data processed successfully,2024-10-26 05:18:04
https://www.kipsbaycourt.com/nyc-apartments-for-rent/,"490 Second Avenue, Apt 03C","Central Region, Uganda",,,,Central Region,,,0.5,32.0,1 Bed,,"$3,695",Available January 24,Data processed successfully,2024-10-26 05:18:04
https://www.kipsbaycourt.com/nyc-apartments-for-rent/,"490 Second Avenue, Apt 02D",,,,,,,,,,1 Bed,,"$4,030",Available Now,Data processed successfully,2024-10-26 05:18:04
https://www.kipsbaycourt.com/nyc-apartments-for-rent/,"484 Second Avenue, Apt 20C","Central Region, Uganda",,,,Central Region,,,0.5,32.0,1 Bed,,"$4,180",Available November 7,Data processed successfully,2024-10-26 05:18:04
https://www.kipsbaycourt.com/nyc-apartments-for-rent/,"510 Second Avenue, Apt 05F","Fakaofo, Tokelau, New Zealand",,,,Fakaofo,,,-9.376,-171.233,1 Bed,,"$4,340",Available February 13,Data processed successfully,2024-10-26 05:18:04
https://www.kipsbaycourt.com/nyc-apartments-for-rent/,"480 Second Avenue, Apt 07A",,,,,,,,,,1 Bed,,"$4,360",Available Now,Data processed successfully,2024-10-26 05:18:04
https://www.kipsbaycourt.com/nyc-apartments-for-rent/,"520 Second Avenue, Apt 16A",,,,,,,,,,1 Bed,,"$4,470",Available Now,Data processed successfully,2024-10-26 05:18:04
https://www.kipsbaycourt.com/nyc-apartments-for-rent/,"480 Second Avenue, Apt 05E","Eastern Region, Uganda",,,,Eastern Region,,,0.96675,33.82622,1 Bed,,"$4,525",Available November 23,Data processed successfully,2024-10-26 05:18:04
https://www.kipsbaycourt.com/nyc-apartments-for-rent/,"480 Second Avenue, Apt 26A",,,,,,,,,,1 Bed,,"$4,575",Available Now,Data processed successfully,2024-10-26 05:18:04
https://www.kipsbaycourt.com/nyc-apartments-for-rent/,"470 Second Avenue, Apt 04E","Eastern Region, Uganda",,,,Eastern Region,,,0.96675,33.82622,1 Bed,,"$4,595",Available Now,Data processed successfully,2024-10-26 05:18:04
https://www.kipsbaycourt.com/nyc-apartments-for-rent/,"520 Second Avenue, Apt 21A",,,,,,,,,,1 Bed,,"$4,610",Available Now,Data processed successfully,2024-10-26 05:18:04
https://www.kipsbaycourt.com/nyc-apartments-for-rent/,"510 Second Avenue, Apt 06C",,,,,,,,,,1 Bed,,"$4,660",Available November 9,Data processed successfully,2024-10-26 05:18:04
https://www.kipsbaycourt.com/nyc-apartments-for-rent/,"470 Second Avenue, Apt 02F","Fakaofo, Tokelau, New Zealand",,,,Fakaofo,,,-9.376,-171.233,2 Bed,,"$5,145",Available Now,Data processed successfully,2024-10-26 05:18:04
https://www.kipsbaycourt.com/nyc-apartments-for-rent/,"480 Second Avenue, Apt 07C","Central Region, Uganda",,,,Central Region,,,0.5,32.0,2 Bed,,"$5,420",Available Now,Data processed successfully,2024-10-26 05:18:04
https://www.kipsbaycourt.com/nyc-apartments-for-rent/,"470 Second Avenue, Apt 08E","Eastern Region, Uganda",,,,Eastern Region,,,0.96675,33.82622,2 Bed,,"$5,450",Available November 1,Data processed successfully,2024-10-26 05:18:04
https://www.kipsbaycourt.com/nyc-apartments-for-rent/,"520 Second Avenue, Apt 20C","Central Region, Uganda",,,,Central Region,,,0.5,32.0,2 Bed,,"$5,595",Available October 27,Data processed successfully,2024-10-26 05:18:04
https://www.kipsbaycourt.com/nyc-apartments-for-rent/,"480 Second Avenue, Apt 14C","Central Region, Uganda",,,,Central Region,,,0.5,32.0,2 Bed,,"$5,600",Available Now,Data processed successfully,2024-10-26 05:18:04
